NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:15:15
DATA_INCLUDED	Angular Velocity
DATA_TYPES	HR_Angular_Velocity

Frame	Time	HR_Angular_Velocity	
653	6.52000	-113.115
654	6.53000	-110.793
655	6.54000	-108.910
656	6.55000	-107.435
657	6.56000	-105.404
658	6.57000	-102.517
659	6.58000	-100.239
660	6.59000	-98.387
661	6.60000	-96.388
662	6.61000	-94.670
663	6.62000	-92.878
664	6.63000	-90.980
665	6.64000	-89.184
666	6.65000	-87.321
667	6.66000	-85.500
668	6.67000	-83.750
669	6.68000	-82.109
670	6.69000	-80.671
671	6.70000	-79.481
672	6.71000	-78.541
673	6.72000	-77.532
674	6.73000	-76.146
675	6.74000	-74.069
676	6.75000	-71.182
677	6.76000	-67.749
678	6.77000	-63.770
679	6.78000	-59.529
680	6.79000	-55.578
681	6.80000	-51.977
682	6.81000	-48.835
683	6.82000	-46.161
684	6.83000	-43.235
685	6.84000	-39.750
686	6.85000	-35.675
687	6.86000	-31.411
688	6.87000	-27.022
689	6.88000	-22.535
690	6.89000	-18.641
691	6.90000	-15.427
692	6.91000	-12.593
693	6.92000	-9.846
694	6.93000	-6.642
695	6.94000	-2.794
696	6.95000	1.701
697	6.96000	6.727
698	6.97000	12.270
699	6.98000	17.998
700	6.99000	22.991
701	7.00000	27.214
702	7.01000	30.812
703	7.02000	33.527
704	7.03000	35.092
705	7.04000	35.365
706	7.05000	34.626
707	7.06000	33.541
708	7.07000	32.287
709	7.08000	30.899
710	7.09000	29.612
711	7.10000	28.806
712	7.11000	28.402
713	7.12000	28.175
714	7.13000	27.919
715	7.14000	27.462
716	7.15000	26.933
717	7.16000	26.601
718	7.17000	26.429
719	7.18000	26.236
720	7.19000	26.159
721	7.20000	26.284
722	7.21000	26.512
723	7.22000	26.941
724	7.23000	27.510
725	7.24000	28.239
726	7.25000	29.159
727	7.26000	30.215
728	7.27000	31.300
729	7.28000	32.059
730	7.29000	32.535
731	7.30000	32.740
732	7.31000	32.654
733	7.32000	32.414
734	7.33000	31.947
735	7.34000	31.289
736	7.35000	30.472
737	7.36000	29.439
738	7.37000	28.186
739	7.38000	26.724
