NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:42:02
DATA_INCLUDED	Angular Acceleration
DATA_TYPES	LR_Angular_Acceleration

Frame	Time	LR_Angular_Acceleration	
642	6.41000	-130.946
643	6.42000	-30.036
644	6.43000	-36.581
645	6.44000	7.524
646	6.45000	33.264
647	6.46000	-69.983
648	6.47000	-114.619
649	6.48000	-135.094
650	6.49000	-139.817
651	6.50000	-96.378
652	6.51000	-13.118
653	6.52000	53.490
654	6.53000	17.672
655	6.54000	-24.171
656	6.55000	-60.790
657	6.56000	-78.554
658	6.57000	-109.482
659	6.58000	-106.829
660	6.59000	-120.287
661	6.60000	-183.766
662	6.61000	-161.850
663	6.62000	-144.938
664	6.63000	-111.022
665	6.64000	-69.905
666	6.65000	-76.689
667	6.66000	-91.073
668	6.67000	-86.326
669	6.68000	-45.154
670	6.69000	-45.345
671	6.70000	-44.410
672	6.71000	35.599
673	6.72000	36.975
674	6.73000	54.243
675	6.74000	12.925
676	6.75000	-3.596
677	6.76000	-42.418
678	6.77000	-64.249
679	6.78000	-78.719
680	6.79000	-95.908
681	6.80000	-89.761
682	6.81000	-64.087
683	6.82000	-37.729
684	6.83000	-59.428
685	6.84000	-77.284
686	6.85000	-45.808
687	6.86000	-59.104
688	6.87000	-55.608
689	6.88000	-55.960
690	6.89000	-66.011
691	6.90000	-49.453
692	6.91000	-7.272
693	6.92000	44.786
694	6.93000	52.239
695	6.94000	71.566
696	6.95000	-13.570
697	6.96000	-10.364
698	6.97000	-2.731
699	6.98000	-10.427
700	6.99000	7.372
701	7.00000	-10.417
702	7.01000	12.952
703	7.02000	-0.428
704	7.03000	-17.934
705	7.04000	-32.227
706	7.05000	-92.311
707	7.06000	-94.060
708	7.07000	-105.144
709	7.08000	-110.976
710	7.09000	-73.829
711	7.10000	-81.122
712	7.11000	-76.742
713	7.12000	-101.602
714	7.13000	-100.852
715	7.14000	-39.031
716	7.15000	25.792
717	7.16000	47.189
718	7.17000	59.748
719	7.18000	53.118
720	7.19000	36.793
721	7.20000	59.449
722	7.21000	81.027
723	7.22000	162.303
724	7.23000	180.018
725	7.24000	229.364
726	7.25000	247.202
727	7.26000	182.739
728	7.27000	95.867
729	7.28000	0.409
730	7.29000	-143.722
731	7.30000	-138.028
732	7.31000	-67.884
733	7.32000	18.616
734	7.33000	-25.811
735	7.34000	-15.100
736	7.35000	5.786
737	7.36000	18.873
738	7.37000	62.256
739	7.38000	113.170
740	7.39000	40.321
741	7.40000	39.883
742	7.41000	10.445
743	7.42000	-82.758
744	7.43000	-132.112
745	7.44000	-92.614
746	7.45000	-72.923
747	7.46000	13.602
748	7.47000	140.743
749	7.48000	227.117
750	7.49000	198.043
751	7.50000	204.365
752	7.51000	124.544
753	7.52000	11.782
754	7.53000	-49.432
755	7.54000	-88.494
756	7.55000	-91.024
757	7.56000	-110.591
758	7.57000	-61.440
759	7.58000	-61.972
760	7.59000	-35.551
761	7.60000	-50.109
762	7.61000	-45.093
763	7.62000	-90.972
764	7.63000	-136.874
765	7.64000	-69.620
766	7.65000	-194.614
767	7.66000	-99.820
768	7.67000	-54.804
769	7.68000	-70.509
770	7.69000	-87.864
771	7.70000	-98.225
772	7.71000	-45.951
773	7.72000	-57.467
774	7.73000	41.187
775	7.74000	14.629
776	7.75000	-153.120
777	7.76000	-35.238
778	7.77000	-24.831
779	7.78000	-36.273
780	7.79000	-105.158
781	7.80000	-194.239
782	7.81000	-273.331
783	7.82000	-176.743
784	7.83000	-48.592
785	7.84000	-75.792
786	7.85000	-75.848
787	7.86000	-109.140
788	7.87000	163.052
789	7.88000	222.357
790	7.89000	84.210
791	7.90000	-82.962
792	7.91000	-174.863
793	7.92000	-183.220
794	7.93000	-218.013
795	7.94000	-106.966
796	7.95000	-215.389
797	7.96000	-168.590
798	7.97000	42.287
799	7.98000	60.303
800	7.99000	31.488
801	8.00000	77.477
802	8.01000	62.634
803	8.02000	18.599
804	8.03000	68.680
805	8.04000	97.928
806	8.05000	-28.582
807	8.06000	191.599
808	8.07000	10.053
809	8.08000	-97.068
810	8.09000	-97.483
811	8.10000	99.575
812	8.11000	173.078
813	8.12000	149.852
814	8.13000	153.988
815	8.14000	220.419
816	8.15000	322.915
817	8.16000	458.740
818	8.17000	177.138
819	8.18000	215.089
820	8.19000	204.885
821	8.20000	280.884
822	8.21000	230.019
823	8.22000	52.245
824	8.23000	-47.320
825	8.24000	-123.461
826	8.25000	-184.036
827	8.26000	-108.900
828	8.27000	-137.145
829	8.28000	-119.002
830	8.29000	-80.847
831	8.30000	-54.069
832	8.31000	5.312
833	8.32000	-55.825
834	8.33000	-58.663
835	8.34000	-79.110
836	8.35000	-75.751
837	8.36000	-8.432
838	8.37000	-148.162
839	8.38000	-350.453
840	8.39000	-229.789
841	8.40000	-181.048
842	8.41000	-62.790
843	8.42000	68.244
844	8.43000	189.518
845	8.44000	486.669
846	8.45000	511.165
847	8.46000	309.222
848	8.47000	62.577
849	8.48000	-146.159
850	8.49000	-116.284
851	8.50000	-41.900
852	8.51000	72.964
853	8.52000	233.065
854	8.53000	313.360
855	8.54000	473.383
856	8.55000	291.428
857	8.56000	-9.544
858	8.57000	-111.363
859	8.58000	-129.470
860	8.59000	68.201
861	8.60000	379.885
862	8.61000	455.192
863	8.62000	612.537
864	8.63000	752.184
865	8.64000	662.042
866	8.65000	576.811
867	8.66000	602.412
868	8.67000	308.880
869	8.68000	-183.162
870	8.69000	-384.548
871	8.70000	-561.626
872	8.71000	-759.985
873	8.72000	-739.446
874	8.73000	-74.755
875	8.74000	1097.396
876	8.75000	635.963
877	8.76000	337.716
878	8.77000	-236.759
879	8.78000	-765.358
880	8.79000	-1084.544
881	8.80000	-1321.855
882	8.81000	-1270.964
883	8.82000	-1060.850
884	8.83000	-174.958
885	8.84000	742.830
886	8.85000	123.883
887	8.86000	509.494
888	8.87000	606.569
889	8.88000	479.996
890	8.89000	241.622
891	8.90000	91.726
892	8.91000	-108.370
893	8.92000	-374.695
894	8.93000	-566.701
895	8.94000	-447.337
896	8.95000	-151.288
897	8.96000	241.780
898	8.97000	438.213
899	8.98000	498.019
900	8.99000	450.518
901	9.00000	202.305
902	9.01000	-61.249
903	9.02000	-318.524
904	9.03000	-482.958
905	9.04000	-489.266
906	9.05000	-425.093
907	9.06000	-250.671
908	9.07000	162.683
909	9.08000	413.383
910	9.09000	463.041
911	9.10000	454.134
912	9.11000	523.518
913	9.12000	408.778
914	9.13000	284.053
915	9.14000	94.986
916	9.15000	-114.927
917	9.16000	-327.366
918	9.17000	-330.930
919	9.18000	-258.774
920	9.19000	-249.118
921	9.20000	-139.862
922	9.21000	-16.076
923	9.22000	92.774
924	9.23000	204.703
925	9.24000	240.313
926	9.25000	194.709
927	9.26000	59.205
928	9.27000	66.713
929	9.28000	88.327
930	9.29000	-36.500
931	9.30000	-131.199
932	9.31000	-93.943
933	9.32000	-43.658
934	9.33000	38.438
935	9.34000	42.857
936	9.35000	-26.426
937	9.36000	-2.322
938	9.37000	49.603
939	9.38000	118.209
940	9.39000	108.602
941	9.40000	40.634
942	9.41000	42.439
943	9.42000	-68.239
944	9.43000	-155.634
945	9.44000	-112.478
946	9.45000	-356.588
947	9.46000	-156.227
948	9.47000	-174.552
949	9.48000	-123.318
950	9.49000	-27.001
951	9.50000	-12.312
952	9.51000	-11.737
953	9.52000	-41.151
954	9.53000	-67.115
955	9.54000	-51.022
956	9.55000	-240.990
957	9.56000	-70.821
958	9.57000	-227.678
959	9.58000	-148.370
960	9.59000	-95.320
961	9.60000	-64.427
962	9.61000	-74.367
963	9.62000	-69.900
964	9.63000	-55.976
965	9.64000	-76.514
966	9.65000	-103.618
967	9.66000	-44.687
968	9.67000	-22.358
969	9.68000	75.152
970	9.69000	18.471
971	9.70000	39.007
972	9.71000	-97.857
973	9.72000	-246.111
974	9.73000	-398.697
975	9.74000	-532.750
976	9.75000	-566.238
977	9.76000	-430.038
978	9.77000	-253.362
979	9.78000	-119.376
980	9.79000	15.567
981	9.80000	171.969
982	9.81000	205.305
983	9.82000	185.289
984	9.83000	123.981
985	9.84000	-97.206
986	9.85000	-114.927
987	9.86000	-90.169
988	9.87000	-127.150
989	9.88000	-178.255
990	9.89000	-264.086
991	9.90000	-242.572
992	9.91000	-239.985
993	9.92000	-231.535
994	9.93000	-183.224
995	9.94000	-118.242
996	9.95000	-33.670
997	9.96000	70.491
998	9.97000	194.242
999	9.98000	337.582
1000	9.99000	0.000
