NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	30
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:23:04
DATA_INCLUDED	Position
DATA_TYPES	SL_pos_X	SL_pos_Y	SL_pos_Z	TL_pos_X	TL_pos_Y	TL_pos_Z	KL_pos_X	KL_pos_Y	KL_pos_Z	LL_pos_X	LL_pos_Y	LL_pos_Z	LR_pos_X	LR_pos_Y	LR_pos_Z	KR_pos_X	KR_pos_Y	KR_pos_Z	TR_pos_X	TR_pos_Y	TR_pos_Z	SR_pos_X	SR_pos_Y	SR_pos_Z	HR_pos_X	HR_pos_Y	HR_pos_Z	HL_pos_X	HL_pos_Y	HL_pos_Z

Frame	Time	SL_pos_X	SL_pos_Y	SL_pos_Z	TL_pos_X	TL_pos_Y	TL_pos_Z	KL_pos_X	KL_pos_Y	KL_pos_Z	LL_pos_X	LL_pos_Y	LL_pos_Z	LR_pos_X	LR_pos_Y	LR_pos_Z	KR_pos_X	KR_pos_Y	KR_pos_Z	TR_pos_X	TR_pos_Y	TR_pos_Z	SR_pos_X	SR_pos_Y	SR_pos_Z	HR_pos_X	HR_pos_Y	HR_pos_Z	HL_pos_X	HL_pos_Y	HL_pos_Z	
63	0.62000	281.614	248.717	1606.676	496.943	217.322	38.899	319.806	180.385	588.854	238.209	203.286	105.777	252.843	-181.010	110.876	313.553	-149.171	591.984	510.969	-199.808	40.032	308.239	-206.503	1615.562	303.996	-196.959	1042.268	0.000	0.000	0.000
64	0.63000	281.541	248.663	1606.677	496.947	217.316	38.913	319.824	180.352	588.827	238.228	203.290	105.736	252.853	-181.007	110.844	313.564	-149.176	591.941	510.960	-199.794	40.031	308.156	-206.577	1615.566	304.046	-196.948	1042.259	0.000	0.000	0.000
65	0.64000	281.499	248.575	1606.684	496.942	217.324	38.902	319.857	180.345	588.839	238.241	203.264	105.757	252.850	-180.997	110.864	313.580	-149.213	591.949	510.971	-199.818	40.018	308.081	-206.628	1615.515	304.087	-196.994	1042.273	0.000	0.000	0.000
66	0.65000	281.446	248.522	1606.676	496.955	217.311	38.895	319.898	180.300	588.812	238.253	203.249	105.742	252.836	-181.013	110.864	313.595	-149.229	591.932	510.965	-199.805	40.000	308.024	-206.698	1615.461	304.418	-196.924	1042.426	0.000	0.000	0.000
67	0.66000	281.414	248.471	1606.653	496.962	217.313	38.879	319.951	180.246	588.823	238.310	203.238	105.754	252.846	-180.997	110.835	313.626	-149.245	591.914	510.961	-199.824	39.992	307.936	-206.760	1615.429	304.421	-196.955	1042.419	0.000	0.000	0.000
68	0.67000	281.378	248.432	1606.650	496.961	217.311	38.873	320.025	180.187	588.790	238.307	203.199	105.778	252.850	-180.998	110.841	313.653	-149.276	591.912	510.963	-199.829	39.986	307.868	-206.810	1615.445	304.411	-196.998	1042.418	0.000	0.000	0.000
69	0.68000	281.342	248.393	1606.635	496.960	217.322	38.868	320.120	180.098	588.732	238.333	203.196	105.764	252.852	-180.976	110.842	313.694	-149.277	591.891	510.968	-199.815	39.967	307.789	-206.857	1615.389	304.408	-197.036	1042.428	0.000	0.000	0.000
70	0.69000	281.324	248.326	1606.587	496.953	217.313	38.860	320.210	180.101	588.771	238.358	203.171	105.761	252.879	-180.996	110.849	313.769	-149.288	591.909	510.976	-199.818	39.947	307.718	-206.900	1615.373	304.428	-197.070	1042.422	0.000	0.000	0.000
71	0.70000	281.291	248.283	1606.566	496.960	217.314	38.864	320.310	180.057	588.749	238.361	203.148	105.780	252.891	-180.988	110.857	313.837	-149.317	591.926	510.987	-199.812	39.950	307.621	-206.930	1615.381	304.409	-197.106	1042.407	0.000	0.000	0.000
72	0.71000	281.260	248.266	1606.546	496.962	217.317	38.858	320.383	180.038	588.764	238.385	203.142	105.796	252.893	-180.993	110.841	313.909	-149.343	591.907	510.980	-199.826	39.944	307.556	-206.968	1615.373	304.379	-197.119	1042.427	0.000	0.000	0.000
