NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:20:30
DATA_INCLUDED	Angular Acceleration
DATA_TYPES	KR_Angular_Acceleration_pre

Frame	Time	KR_Angular_Acceleration_pre	
754	7.53000	35.836
755	7.54000	10.560
756	7.55000	7.516
757	7.56000	-24.270
758	7.57000	13.228
759	7.58000	23.644
760	7.59000	7.759
761	7.60000	-25.465
762	7.61000	55.130
763	7.62000	68.216
764	7.63000	51.443
765	7.64000	55.256
766	7.65000	44.899
767	7.66000	-2.849
768	7.67000	-13.316
769	7.68000	-46.685
770	7.69000	-76.703
771	7.70000	-97.682
772	7.71000	-80.462
773	7.72000	-77.236
774	7.73000	-67.328
775	7.74000	-28.383
776	7.75000	1.933
777	7.76000	3.064
778	7.77000	-15.872
779	7.78000	-20.931
780	7.79000	-21.819
781	7.80000	-47.190
782	7.81000	-51.732
783	7.82000	-47.742
784	7.83000	5.792
785	7.84000	17.971
786	7.85000	76.924
787	7.86000	61.384
788	7.87000	70.726
789	7.88000	95.697
790	7.89000	78.421
791	7.90000	58.419
792	7.91000	56.024
793	7.92000	28.936
794	7.93000	6.655
795	7.94000	-29.171
796	7.95000	-13.229
797	7.96000	-22.674
798	7.97000	4.698
799	7.98000	23.973
800	7.99000	15.929
801	8.00000	10.629
802	8.01000	7.228
803	8.02000	-23.664
804	8.03000	-22.991
805	8.04000	-15.651
806	8.05000	-49.373
807	8.06000	-10.253
808	8.07000	13.420
809	8.08000	30.200
810	8.09000	50.211
811	8.10000	89.286
812	8.11000	65.272
813	8.12000	88.166
814	8.13000	99.468
815	8.14000	130.241
816	8.15000	143.645
817	8.16000	214.463
818	8.17000	188.732
819	8.18000	158.437
820	8.19000	159.269
821	8.20000	129.319
822	8.21000	25.145
823	8.22000	-26.387
824	8.23000	-69.784
825	8.24000	-53.085
826	8.25000	-31.403
827	8.26000	-46.541
828	8.27000	-49.901
829	8.28000	-7.142
830	8.29000	76.888
831	8.30000	107.704
832	8.31000	230.427
833	8.32000	307.032
834	8.33000	376.364
835	8.34000	408.183
836	8.35000	450.083
837	8.36000	427.216
838	8.37000	432.071
839	8.38000	405.225
840	8.39000	396.304
841	8.40000	339.579
842	8.41000	397.156
843	8.42000	370.365
844	8.43000	357.480
845	8.44000	318.475
846	8.45000	344.928
847	8.46000	324.535
848	8.47000	326.124
849	8.48000	342.274
850	8.49000	348.662
851	8.50000	384.509
852	8.51000	372.012
853	8.52000	407.339
854	8.53000	414.310
855	8.54000	431.816
856	8.55000	424.421
857	8.56000	437.418
858	8.57000	416.314
859	8.58000	344.496
860	8.59000	381.093
861	8.60000	281.130
862	8.61000	171.565
863	8.62000	152.457
864	8.63000	87.902
865	8.64000	57.083
866	8.65000	39.610
867	8.66000	71.856
868	8.67000	29.063
869	8.68000	-36.419
870	8.69000	27.608
871	8.70000	-106.800
872	8.71000	-55.923
873	8.72000	-55.715
874	8.73000	-75.419
875	8.74000	-36.081
876	8.75000	31.725
877	8.76000	28.796
878	8.77000	60.065
879	8.78000	111.914
880	8.79000	152.823
881	8.80000	141.869
882	8.81000	117.348
883	8.82000	63.141
884	8.83000	-68.332
885	8.84000	-154.615
886	8.85000	-232.441
887	8.86000	-250.960
888	8.87000	-261.899
889	8.88000	-264.922
890	8.89000	-317.982
891	8.90000	-412.785
892	8.91000	-556.292
893	8.92000	-682.686
894	8.93000	-801.986
895	8.94000	-847.641
896	8.95000	-806.270
897	8.96000	-816.091
898	8.97000	-539.408
899	8.98000	-413.356
900	8.99000	-408.953
901	9.00000	-396.721
902	9.01000	-430.226
903	9.02000	-544.821
904	9.03000	-566.539
905	9.04000	-601.486
906	9.05000	-653.037
907	9.06000	-611.927
908	9.07000	-274.193
909	9.08000	-204.569
910	9.09000	-222.332
911	9.10000	-104.392
912	9.11000	37.964
913	9.12000	96.963
914	9.13000	-135.367
915	9.14000	-79.843
916	9.15000	-92.811
917	9.16000	19.584
918	9.17000	27.958
919	9.18000	88.705
920	9.19000	54.409
921	9.20000	105.602
922	9.21000	172.945
923	9.22000	76.716
924	9.23000	-243.806
925	9.24000	-161.638
926	9.25000	-163.524
927	9.26000	-86.955
928	9.27000	-78.557
929	9.28000	-202.729
930	9.29000	-385.106
931	9.30000	-499.985
932	9.31000	-357.032
933	9.32000	-136.298
934	9.33000	82.695
935	9.34000	185.385
936	9.35000	353.628
937	9.36000	492.283
938	9.37000	482.977
939	9.38000	257.968
940	9.39000	-62.864
941	9.40000	-242.373
942	9.41000	-194.755
943	9.42000	-142.003
944	9.43000	-139.262
945	9.44000	-150.219
946	9.45000	-89.297
947	9.46000	-39.635
948	9.47000	54.011
949	9.48000	45.486
950	9.49000	2.433
951	9.50000	-33.191
952	9.51000	-73.577
953	9.52000	-87.831
954	9.53000	-106.149
955	9.54000	-134.517
956	9.55000	-116.227
957	9.56000	-111.045
958	9.57000	-28.087
959	9.58000	-21.445
960	9.59000	26.583
961	9.60000	37.493
962	9.61000	50.837
963	9.62000	78.755
964	9.63000	97.418
965	9.64000	58.274
966	9.65000	75.290
967	9.66000	29.407
968	9.67000	24.361
969	9.68000	-22.587
970	9.69000	-31.709
971	9.70000	-77.677
972	9.71000	-64.061
973	9.72000	-39.379
974	9.73000	-15.864
975	9.74000	-18.455
976	9.75000	21.641
977	9.76000	24.143
978	9.77000	53.754
979	9.78000	27.180
980	9.79000	1.290
981	9.80000	-0.136
982	9.81000	-9.323
983	9.82000	-16.970
984	9.83000	-34.422
985	9.84000	-66.286
986	9.85000	-51.710
987	9.86000	-56.834
988	9.87000	-39.987
989	9.88000	-38.267
990	9.89000	-22.326
991	9.90000	33.294
992	9.91000	51.848
993	9.92000	75.317
994	9.93000	92.938
995	9.94000	62.786
996	9.95000	68.453
997	9.96000	67.885
998	9.97000	67.110
999	9.98000	66.119
1000	9.99000	0.000
