NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:30:40
DATA_INCLUDED	Angular Velocity
DATA_TYPES	KR_Angular_Velocity

Frame	Time	KR_Angular_Velocity	
519	5.18000	-26.779
520	5.19000	-29.660
521	5.20000	-32.906
522	5.21000	-36.095
523	5.22000	-38.898
524	5.23000	-41.390
525	5.24000	-43.189
526	5.25000	-44.367
527	5.26000	-45.302
528	5.27000	-46.558
529	5.28000	-48.717
530	5.29000	-51.734
531	5.30000	-55.457
532	5.31000	-59.499
533	5.32000	-64.340
534	5.33000	-70.669
535	5.34000	-77.758
536	5.35000	-84.177
537	5.36000	-88.071
538	5.37000	-88.882
539	5.38000	-87.400
540	5.39000	-84.399
541	5.40000	-81.722
542	5.41000	-81.498
543	5.42000	-84.577
544	5.43000	-90.021
545	5.44000	-95.831
546	5.45000	-100.027
547	5.46000	-101.330
548	5.47000	-100.732
549	5.48000	-100.404
550	5.49000	-101.175
551	5.50000	-103.112
552	5.51000	-105.894
553	5.52000	-108.554
554	5.53000	-110.460
555	5.54000	-111.760
556	5.55000	-112.665
557	5.56000	-113.524
558	5.57000	-114.825
559	5.58000	-116.762
560	5.59000	-118.734
561	5.60000	-119.905
562	5.61000	-120.092
563	5.62000	-120.600
564	5.63000	-122.198
565	5.64000	-124.068
566	5.65000	-125.711
567	5.66000	-126.582
568	5.67000	-126.293
569	5.68000	-125.086
570	5.69000	-123.354
571	5.70000	-121.377
572	5.71000	-119.182
573	5.72000	-117.191
574	5.73000	-115.286
575	5.74000	-113.106
576	5.75000	-111.088
577	5.76000	-109.040
578	5.77000	-106.686
579	5.78000	-103.884
580	5.79000	-100.717
581	5.80000	-97.412
582	5.81000	-93.908
583	5.82000	-90.354
584	5.83000	-86.740
585	5.84000	-83.185
586	5.85000	-79.873
587	5.86000	-76.786
588	5.87000	-73.745
589	5.88000	-70.714
590	5.89000	-68.068
591	5.90000	-65.680
592	5.91000	-63.273
593	5.92000	-60.921
594	5.93000	-58.560
595	5.94000	-56.381
596	5.95000	-54.555
597	5.96000	-53.076
598	5.97000	-52.019
599	5.98000	-51.309
600	5.99000	-50.882
601	6.00000	-50.536
602	6.01000	-49.960
603	6.02000	-49.050
604	6.03000	-47.648
605	6.04000	-45.230
606	6.05000	-41.482
607	6.06000	-36.405
608	6.07000	-30.221
609	6.08000	-23.320
610	6.09000	-15.822
611	6.10000	-8.115
612	6.11000	-0.885
613	6.12000	5.250
614	6.13000	9.772
615	6.14000	12.665
616	6.15000	13.976
617	6.16000	13.690
