NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:30:55
DATA_INCLUDED	Angular Acceleration
DATA_TYPES	KR_Angular_Acceleration

Frame	Time	KR_Angular_Acceleration	
801	8.00000	-388.859
802	8.01000	-496.649
803	8.02000	-246.466
804	8.03000	-109.474
805	8.04000	-63.352
806	8.05000	31.106
807	8.06000	-35.086
808	8.07000	-53.356
809	8.08000	-180.624
810	8.09000	-170.349
811	8.10000	-318.600
812	8.11000	-434.396
813	8.12000	-213.943
814	8.13000	-210.250
815	8.14000	-254.456
816	8.15000	-236.303
817	8.16000	-232.360
818	8.17000	-185.580
819	8.18000	-124.891
820	8.19000	-29.480
821	8.20000	92.253
822	8.21000	161.260
823	8.22000	264.416
824	8.23000	231.746
825	8.24000	115.363
826	8.25000	-32.302
827	8.26000	-85.628
828	8.27000	-219.962
829	8.28000	-297.764
830	8.29000	-369.660
831	8.30000	-227.259
832	8.31000	-174.646
833	8.32000	-50.018
834	8.33000	0.200
835	8.34000	76.575
836	8.35000	108.960
837	8.36000	208.804
838	8.37000	193.556
839	8.38000	167.397
840	8.39000	176.142
841	8.40000	171.861
842	8.41000	87.555
843	8.42000	31.482
844	8.43000	-90.573
845	8.44000	-196.253
846	8.45000	-253.455
847	8.46000	-225.795
848	8.47000	-225.791
849	8.48000	-170.274
850	8.49000	-56.560
851	8.50000	-44.833
852	8.51000	-44.348
853	8.52000	-8.315
854	8.53000	-42.367
855	8.54000	-10.976
856	8.55000	0.990
857	8.56000	82.915
858	8.57000	82.033
859	8.58000	166.618
860	8.59000	169.320
861	8.60000	110.211
862	8.61000	55.424
863	8.62000	24.562
864	8.63000	-22.087
865	8.64000	-51.298
866	8.65000	-86.112
867	8.66000	-40.624
868	8.67000	-50.161
869	8.68000	4.831
870	8.69000	22.193
871	8.70000	12.081
872	8.71000	63.394
873	8.72000	92.266
874	8.73000	133.073
875	8.74000	69.778
876	8.75000	81.334
877	8.76000	40.057
878	8.77000	-1.103
879	8.78000	-51.467
880	8.79000	-90.082
881	8.80000	-149.137
882	8.81000	-148.345
883	8.82000	-48.610
884	8.83000	-40.565
885	8.84000	-31.464
886	8.85000	48.961
887	8.86000	91.337
888	8.87000	104.325
889	8.88000	116.052
890	8.89000	81.553
891	8.90000	65.486
892	8.91000	51.882
893	8.92000	57.102
894	8.93000	-23.713
895	8.94000	-46.852
896	8.95000	-102.706
897	8.96000	-106.636
898	8.97000	-139.600
899	8.98000	-111.559
900	8.99000	-99.395
901	9.00000	-33.037
902	9.01000	56.467
903	9.02000	33.955
904	9.03000	89.754
905	9.04000	87.151
906	9.05000	48.787
907	9.06000	23.375
908	9.07000	-6.787
909	9.08000	-37.582
910	9.09000	-45.617
911	9.10000	-52.709
912	9.11000	-42.222
913	9.12000	-104.017
914	9.13000	-89.775
915	9.14000	-50.251
916	9.15000	-72.445
917	9.16000	-31.627
918	9.17000	-12.312
919	9.18000	29.364
920	9.19000	79.317
921	9.20000	51.295
922	9.21000	59.202
923	9.22000	31.529
924	9.23000	18.002
925	9.24000	22.752
926	9.25000	-31.337
927	9.26000	-22.378
928	9.27000	-67.366
929	9.28000	-55.675
930	9.29000	-55.981
931	9.30000	-43.652
932	9.31000	11.714
933	9.32000	12.889
934	9.33000	60.186
935	9.34000	69.524
936	9.35000	100.376
937	9.36000	95.853
938	9.37000	89.372
939	9.38000	95.208
940	9.39000	106.970
941	9.40000	92.275
942	9.41000	89.706
943	9.42000	19.593
944	9.43000	-8.146
945	9.44000	-63.044
946	9.45000	-79.386
947	9.46000	-86.798
948	9.47000	-59.488
949	9.48000	-62.334
950	9.49000	-37.850
951	9.50000	-28.673
952	9.51000	19.343
953	9.52000	-27.471
954	9.53000	-25.036
955	9.54000	-46.567
956	9.55000	-49.394
957	9.56000	-0.642
958	9.57000	-21.020
959	9.58000	-28.556
960	9.59000	-24.854
961	9.60000	-17.975
962	9.61000	5.693
963	9.62000	-21.446
964	9.63000	-18.047
965	9.64000	3.442
966	9.65000	56.774
967	9.66000	108.613
968	9.67000	94.105
969	9.68000	155.326
970	9.69000	124.126
971	9.70000	111.059
972	9.71000	110.872
973	9.72000	59.354
974	9.73000	4.900
975	9.74000	43.859
976	9.75000	36.972
977	9.76000	41.420
978	9.77000	3.743
979	9.78000	26.669
980	9.79000	2.714
981	9.80000	-20.833
982	9.81000	-15.875
983	9.82000	-46.896
984	9.83000	-79.245
985	9.84000	-44.923
986	9.85000	-50.876
987	9.86000	-44.925
988	9.87000	-67.929
989	9.88000	-55.144
990	9.89000	-42.163
991	9.90000	-63.754
992	9.91000	-18.276
993	9.92000	-32.884
994	9.93000	-61.984
995	9.94000	-45.588
996	9.95000	-17.097
997	9.96000	23.490
998	9.97000	76.171
999	9.98000	140.947
1000	9.99000	0.000
