NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:36:16
DATA_INCLUDED	Angle
DATA_TYPES	HL_Angle

Frame	Time	HL_Angle	
619	6.18000	144.093
620	6.19000	144.824
621	6.20000	145.547
622	6.21000	146.252
623	6.22000	146.933
624	6.23000	147.584
625	6.24000	148.208
626	6.25000	148.811
627	6.26000	149.410
628	6.27000	150.027
629	6.28000	150.667
630	6.29000	151.325
631	6.30000	152.011
632	6.31000	152.711
633	6.32000	153.425
634	6.33000	154.151
635	6.34000	154.879
636	6.35000	155.604
637	6.36000	156.326
638	6.37000	157.052
639	6.38000	157.786
640	6.39000	158.533
641	6.40000	159.296
642	6.41000	160.072
643	6.42000	160.862
644	6.43000	161.663
645	6.44000	162.458
646	6.45000	163.230
647	6.46000	163.966
648	6.47000	164.663
649	6.48000	165.321
650	6.49000	165.943
651	6.50000	166.533
652	6.51000	167.095
653	6.52000	167.630
654	6.53000	168.138
655	6.54000	168.618
656	6.55000	169.067
657	6.56000	169.477
658	6.57000	169.850
659	6.58000	170.188
660	6.59000	170.499
661	6.60000	170.787
662	6.61000	171.056
663	6.62000	171.297
664	6.63000	171.507
665	6.64000	171.684
666	6.65000	171.818
667	6.66000	171.904
668	6.67000	171.941
669	6.68000	171.936
670	6.69000	171.898
671	6.70000	171.839
672	6.71000	171.775
673	6.72000	171.714
674	6.73000	171.664
675	6.74000	171.631
676	6.75000	171.610
677	6.76000	171.595
678	6.77000	171.580
679	6.78000	171.560
680	6.79000	171.527
681	6.80000	171.475
682	6.81000	171.410
683	6.82000	171.332
684	6.83000	171.243
685	6.84000	171.150
686	6.85000	171.054
687	6.86000	170.964
688	6.87000	170.883
689	6.88000	170.819
690	6.89000	170.766
691	6.90000	170.724
692	6.91000	170.689
693	6.92000	170.659
694	6.93000	170.622
695	6.94000	170.581
696	6.95000	170.534
697	6.96000	170.481
698	6.97000	170.424
699	6.98000	170.363
700	6.99000	170.297
701	7.00000	170.222
702	7.01000	170.139
703	7.02000	170.051
704	7.03000	169.958
705	7.04000	169.872
706	7.05000	169.794
707	7.06000	169.725
708	7.07000	169.664
709	7.08000	169.609
710	7.09000	169.552
711	7.10000	169.494
712	7.11000	169.435
713	7.12000	169.375
714	7.13000	169.320
715	7.14000	169.277
716	7.15000	169.249
717	7.16000	169.240
718	7.17000	169.253
719	7.18000	169.289
720	7.19000	169.346
721	7.20000	169.423
722	7.21000	169.513
723	7.22000	169.604
724	7.23000	169.685
725	7.24000	169.739
726	7.25000	169.751
727	7.26000	169.693
728	7.27000	169.550
729	7.28000	169.283
730	7.29000	168.870
731	7.30000	168.303
732	7.31000	167.583
733	7.32000	166.725
734	7.33000	165.750
735	7.34000	164.682
736	7.35000	163.550
737	7.36000	162.378
738	7.37000	161.186
739	7.38000	159.976
740	7.39000	158.760
741	7.40000	157.551
742	7.41000	156.360
743	7.42000	155.198
744	7.43000	154.076
745	7.44000	152.999
746	7.45000	151.972
747	7.46000	150.997
748	7.47000	150.070
749	7.48000	149.184
750	7.49000	148.330
751	7.50000	147.498
752	7.51000	146.680
753	7.52000	145.867
754	7.53000	145.052
755	7.54000	144.222
756	7.55000	143.373
757	7.56000	142.494
758	7.57000	141.585
759	7.58000	140.643
760	7.59000	139.677
761	7.60000	138.695
762	7.61000	137.707
763	7.62000	136.719
764	7.63000	135.731
765	7.64000	134.738
766	7.65000	133.734
767	7.66000	132.706
768	7.67000	131.649
769	7.68000	130.563
770	7.69000	129.454
771	7.70000	128.326
772	7.71000	127.191
773	7.72000	126.062
774	7.73000	124.944
775	7.74000	123.846
776	7.75000	122.775
777	7.76000	121.736
778	7.77000	120.732
779	7.78000	119.767
780	7.79000	118.834
781	7.80000	117.925
782	7.81000	117.031
783	7.82000	116.147
784	7.83000	115.267
785	7.84000	114.391
786	7.85000	113.525
787	7.86000	112.675
788	7.87000	111.847
789	7.88000	111.047
790	7.89000	110.280
791	7.90000	109.551
792	7.91000	108.858
793	7.92000	108.202
794	7.93000	107.570
795	7.94000	106.948
796	7.95000	106.330
797	7.96000	105.706
798	7.97000	105.076
799	7.98000	104.444
800	7.99000	103.819
801	8.00000	103.220
802	8.01000	102.665
803	8.02000	102.172
804	8.03000	101.751
805	8.04000	101.405
806	8.05000	101.134
807	8.06000	100.921
808	8.07000	100.744
809	8.08000	100.569
810	8.09000	100.362
811	8.10000	100.104
812	8.11000	99.792
813	8.12000	99.439
814	8.13000	99.068
815	8.14000	98.700
816	8.15000	98.357
817	8.16000	98.053
818	8.17000	97.799
819	8.18000	97.605
820	8.19000	97.479
821	8.20000	97.438
822	8.21000	97.503
823	8.22000	97.691
824	8.23000	98.011
825	8.24000	98.463
826	8.25000	99.045
827	8.26000	99.757
828	8.27000	100.599
829	8.28000	101.574
830	8.29000	102.685
831	8.30000	103.934
832	8.31000	105.316
833	8.32000	106.809
834	8.33000	108.380
835	8.34000	109.991
836	8.35000	111.614
837	8.36000	113.223
838	8.37000	114.788
839	8.38000	116.292
840	8.39000	117.734
841	8.40000	119.118
842	8.41000	120.457
843	8.42000	121.758
844	8.43000	123.062
845	8.44000	124.417
846	8.45000	125.717
847	8.46000	126.829
848	8.47000	127.661
849	8.48000	128.183
850	8.49000	128.411
851	8.50000	128.410
852	8.51000	128.296
853	8.52000	128.209
854	8.53000	128.295
855	8.54000	128.639
856	8.55000	129.158
857	8.56000	129.781
858	8.57000	130.465
859	8.58000	131.172
860	8.59000	131.859
861	8.60000	132.503
862	8.61000	133.109
863	8.62000	133.683
864	8.63000	134.232
865	8.64000	134.782
866	8.65000	135.351
867	8.66000	135.952
868	8.67000	136.593
869	8.68000	137.270
870	8.69000	137.970
871	8.70000	138.681
872	8.71000	139.400
873	8.72000	140.130
874	8.73000	140.877
875	8.74000	141.639
876	8.75000	142.409
877	8.76000	143.175
878	8.77000	143.921
879	8.78000	144.632
880	8.79000	145.296
881	8.80000	145.901
882	8.81000	146.444
883	8.82000	146.929
884	8.83000	147.361
885	8.84000	147.749
886	8.85000	148.101
887	8.86000	148.426
888	8.87000	148.733
889	8.88000	149.028
890	8.89000	149.313
891	8.90000	149.589
892	8.91000	149.852
893	8.92000	150.096
894	8.93000	150.315
895	8.94000	150.511
896	8.95000	150.685
897	8.96000	150.839
898	8.97000	150.981
899	8.98000	151.116
900	8.99000	151.249
901	9.00000	151.381
902	9.01000	151.513
903	9.02000	151.643
904	9.03000	151.773
905	9.04000	151.907
906	9.05000	152.048
907	9.06000	152.202
908	9.07000	152.374
909	9.08000	152.560
910	9.09000	152.756
911	9.10000	152.955
912	9.11000	153.151
913	9.12000	153.336
914	9.13000	153.513
915	9.14000	153.683
916	9.15000	153.850
917	9.16000	154.019
918	9.17000	154.187
919	9.18000	154.342
920	9.19000	154.462
921	9.20000	154.514
922	9.21000	154.468
923	9.22000	154.291
924	9.23000	153.968
925	9.24000	153.495
926	9.25000	152.883
927	9.26000	152.163
928	9.27000	151.358
929	9.28000	150.504
930	9.29000	149.631
931	9.30000	148.768
932	9.31000	147.922
933	9.32000	147.093
934	9.33000	146.274
935	9.34000	145.458
936	9.35000	144.642
937	9.36000	143.827
938	9.37000	143.005
939	9.38000	142.188
940	9.39000	141.378
941	9.40000	140.588
942	9.41000	139.805
943	9.42000	139.022
944	9.43000	138.228
945	9.44000	137.420
946	9.45000	136.592
947	9.46000	135.741
948	9.47000	134.869
949	9.48000	133.982
950	9.49000	133.085
951	9.50000	132.191
952	9.51000	131.299
953	9.52000	130.422
954	9.53000	129.565
955	9.54000	128.730
956	9.55000	127.916
957	9.56000	127.120
958	9.57000	126.341
959	9.58000	125.582
960	9.59000	124.843
961	9.60000	124.127
962	9.61000	123.426
963	9.62000	122.738
964	9.63000	122.052
965	9.64000	121.357
966	9.65000	120.653
967	9.66000	119.940
968	9.67000	119.225
969	9.68000	118.521
970	9.69000	117.839
971	9.70000	117.189
972	9.71000	116.574
973	9.72000	115.996
974	9.73000	115.447
975	9.74000	114.917
976	9.75000	114.403
977	9.76000	113.896
978	9.77000	113.393
979	9.78000	112.894
980	9.79000	112.399
981	9.80000	111.910
982	9.81000	111.432
983	9.82000	110.958
984	9.83000	110.486
985	9.84000	110.004
986	9.85000	109.508
987	9.86000	108.991
988	9.87000	108.450
989	9.88000	107.886
990	9.89000	107.302
991	9.90000	106.706
992	9.91000	106.104
993	9.92000	105.500
994	9.93000	104.901
995	9.94000	104.307
996	9.95000	103.720
997	9.96000	103.136
998	9.97000	102.556
999	9.98000	101.981
1000	9.99000	101.410
