NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	30
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:35:44
DATA_INCLUDED	Position
DATA_TYPES	LR_pos_X	LR_pos_Y	LR_pos_Z	HR_pos_X	HR_pos_Y	HR_pos_Z	SR_pos_X	SR_pos_Y	SR_pos_Z	KR_pos_X	KR_pos_Y	KR_pos_Z	LL_pos_X	LL_pos_Y	LL_pos_Z	HL_pos_X	HL_pos_Y	HL_pos_Z	TR_pos_X	TR_pos_Y	TR_pos_Z	TL_pos_X	TL_pos_Y	TL_pos_Z	SL_pos_X	SL_pos_Y	SL_pos_Z	KL_pos_X	KL_pos_Y	KL_pos_Z

Frame	Time	LR_pos_X	LR_pos_Y	LR_pos_Z	HR_pos_X	HR_pos_Y	HR_pos_Z	SR_pos_X	SR_pos_Y	SR_pos_Z	KR_pos_X	KR_pos_Y	KR_pos_Z	LL_pos_X	LL_pos_Y	LL_pos_Z	HL_pos_X	HL_pos_Y	HL_pos_Z	TR_pos_X	TR_pos_Y	TR_pos_Z	TL_pos_X	TL_pos_Y	TL_pos_Z	SL_pos_X	SL_pos_Y	SL_pos_Z	KL_pos_X	KL_pos_Y	KL_pos_Z	
44	0.43000	200.178	-150.575	109.343	233.945	-197.414	1038.551	199.773	-168.179	1660.627	260.089	-136.539	590.843	178.388	199.532	106.324	209.512	220.659	1048.104	458.465	-168.995	38.586	436.329	218.327	38.923	181.194	178.619	1674.147	260.341	182.973	587.836
45	0.44000	200.144	-150.579	109.357	233.972	-197.284	1038.523	199.528	-167.970	1660.607	259.967	-136.457	590.815	178.379	199.543	106.327	209.589	220.755	1048.085	458.461	-168.987	38.605	436.344	218.331	38.922	181.082	178.814	1674.151	260.380	183.050	587.821
46	0.45000	200.108	-150.563	109.340	234.012	-197.151	1038.533	199.269	-167.766	1660.575	259.878	-136.351	590.798	178.399	199.551	106.313	209.676	220.838	1048.074	458.443	-169.009	38.643	436.358	218.329	38.870	180.942	178.974	1674.023	260.411	183.086	587.809
47	0.46000	200.094	-150.550	109.331	234.044	-197.016	1038.517	199.007	-167.540	1660.528	259.718	-137.521	591.390	178.420	199.560	106.339	209.773	220.990	1048.079	458.450	-169.012	38.663	436.369	218.325	38.824	180.776	179.187	1674.040	260.464	183.157	587.820
48	0.47000	200.072	-150.544	109.346	234.062	-196.877	1038.553	198.761	-167.343	1660.552	259.665	-137.500	591.467	178.476	199.556	106.330	209.853	221.156	1048.090	458.443	-169.020	38.669	436.379	218.325	38.778	180.623	179.321	1674.010	260.506	183.224	587.854
49	0.48000	200.074	-150.548	109.375	234.087	-196.749	1038.571	198.549	-167.129	1660.530	259.645	-137.454	591.511	178.495	199.558	106.316	209.936	221.307	1048.090	458.432	-169.013	38.661	436.388	218.325	38.748	180.465	179.519	1674.020	260.538	183.226	587.844
50	0.49000	200.084	-150.542	109.393	234.075	-196.623	1038.612	198.316	-166.917	1660.519	259.590	-137.368	591.541	178.522	199.517	106.320	210.028	221.415	1048.036	458.441	-169.019	38.659	436.419	218.340	38.706	180.327	179.649	1674.048	260.544	183.223	587.855
51	0.50000	200.104	-150.515	109.404	234.052	-196.458	1038.659	198.094	-166.731	1660.508	259.607	-137.153	591.530	178.537	199.535	106.335	210.128	221.496	1048.019	458.455	-169.012	38.637	436.404	218.332	38.692	180.157	179.812	1674.033	260.525	183.246	587.860
52	0.51000	200.103	-150.515	109.435	234.019	-196.302	1038.675	197.865	-166.539	1660.506	259.543	-137.082	591.599	178.521	199.524	106.369	210.293	221.658	1048.015	458.462	-169.022	38.639	436.400	218.320	38.705	180.052	179.920	1673.998	260.505	183.259	587.856
53	0.52000	200.116	-150.452	109.426	233.991	-196.150	1038.690	197.679	-166.366	1660.481	259.449	-137.110	591.678	178.531	199.530	106.330	210.425	221.768	1047.961	458.464	-169.025	38.606	436.398	218.312	38.731	179.909	180.018	1673.954	260.460	183.265	587.865
54	0.53000	200.099	-150.470	109.438	233.972	-196.009	1038.683	197.474	-166.194	1660.395	259.374	-137.019	591.701	178.498	199.506	106.320	210.543	221.924	1047.969	458.461	-169.034	38.622	436.388	218.314	38.751	179.739	180.167	1673.932	260.423	183.293	587.870
55	0.54000	200.098	-150.416	109.423	233.970	-195.872	1038.665	197.244	-166.051	1660.349	259.285	-136.826	591.650	178.465	199.534	106.313	210.622	222.025	1047.923	458.460	-169.034	38.632	436.380	218.318	38.770	179.583	180.290	1673.906	260.390	183.327	587.849
56	0.55000	200.080	-150.409	109.435	233.947	-195.720	1038.629	197.061	-165.895	1660.300	259.170	-136.782	591.684	178.440	199.545	106.272	210.699	222.137	1047.868	458.456	-169.047	38.642	436.356	218.306	38.844	179.421	180.375	1673.931	260.359	183.410	587.851
57	0.56000	200.083	-150.361	109.434	233.920	-195.601	1038.616	196.816	-165.766	1660.212	259.098	-136.495	591.623	178.401	199.577	106.267	210.772	222.266	1047.874	458.451	-169.046	38.652	436.345	218.310	38.904	179.241	180.461	1673.967	260.318	183.506	587.842
58	0.57000	200.077	-150.385	109.444	233.875	-195.468	1038.569	196.576	-165.657	1660.143	259.043	-136.415	591.615	178.362	199.594	106.270	210.839	222.424	1047.874	458.442	-169.049	38.688	436.332	218.315	38.926	179.024	180.577	1673.922	260.287	183.592	587.790
59	0.58000	200.084	-150.345	109.441	233.845	-195.321	1038.524	196.394	-165.537	1660.059	258.997	-136.431	591.663	178.343	199.627	106.226	210.879	222.561	1047.853	458.446	-169.046	38.700	436.320	218.334	38.968	178.843	180.643	1673.929	260.260	183.717	587.810
60	0.59000	200.085	-150.348	109.432	233.775	-195.179	1038.505	196.188	-165.471	1659.997	259.005	-136.354	591.705	178.328	199.651	106.222	210.909	222.742	1047.869	458.417	-169.044	38.727	436.307	218.329	38.995	178.672	180.710	1673.863	260.253	183.805	587.824
61	0.60000	200.083	-150.308	109.442	233.731	-195.024	1038.494	196.017	-165.367	1659.958	258.952	-136.318	591.733	178.311	199.684	106.219	210.911	222.930	1047.864	458.418	-169.051	38.770	436.295	218.336	39.030	178.473	180.810	1673.879	260.260	183.887	587.800
62	0.61000	200.070	-150.310	109.427	233.673	-194.861	1038.485	195.860	-165.285	1659.886	258.946	-136.214	591.738	178.307	199.681	106.198	210.885	223.104	1047.849	458.410	-169.050	38.799	436.298	218.341	39.071	178.277	180.892	1673.898	260.271	183.995	587.798
63	0.62000	200.053	-150.293	109.443	233.623	-194.704	1038.488	195.720	-165.200	1659.843	258.923	-136.042	591.687	178.306	199.701	106.163	210.852	223.244	1047.821	458.397	-169.057	38.837	436.274	218.367	39.111	178.139	180.966	1673.891	260.293	184.108	587.800
64	0.63000	200.029	-150.283	109.467	233.563	-194.524	1038.492	195.606	-165.131	1659.809	258.946	-135.845	591.656	178.271	199.707	106.187	210.790	223.446	1047.820	458.393	-169.061	38.885	436.261	218.351	39.160	177.963	181.046	1673.898	260.341	184.195	587.774
65	0.64000	200.038	-150.267	109.453	233.524	-194.374	1038.486	195.474	-165.087	1659.793	258.965	-135.798	591.725	178.259	199.703	106.130	210.713	223.595	1047.778	458.375	-169.043	38.922	436.253	218.348	39.196	177.791	181.111	1673.865	260.387	184.270	587.754
66	0.65000	200.041	-150.248	109.474	233.478	-194.218	1038.480	195.368	-165.013	1659.736	258.973	-135.729	591.730	178.253	199.720	106.105	210.631	223.774	1047.782	458.374	-169.058	38.950	436.229	218.368	39.264	177.680	181.198	1673.879	260.477	184.363	587.746
67	0.66000	200.024	-150.234	109.446	233.435	-194.069	1038.460	195.215	-164.939	1659.697	258.987	-135.717	591.775	178.210	199.746	106.084	210.557	223.931	1047.749	458.359	-169.066	38.982	436.205	218.355	39.344	177.582	181.251	1673.810	260.549	184.489	587.761
68	0.67000	200.022	-150.221	109.480	233.404	-193.910	1038.409	195.085	-164.877	1659.698	258.998	-135.627	591.763	178.192	199.733	106.062	210.493	224.061	1047.705	458.366	-169.064	39.043	436.192	218.360	39.400	177.443	181.320	1673.813	260.626	184.569	587.686
69	0.68000	200.014	-150.212	109.459	233.352	-193.758	1038.394	194.958	-164.788	1659.613	259.036	-135.561	591.760	178.175	199.738	106.004	210.391	224.236	1047.700	458.369	-169.047	39.054	436.175	218.354	39.444	177.331	181.385	1673.794	260.702	184.679	587.621
70	0.69000	200.014	-150.210	109.472	233.320	-193.622	1038.340	194.833	-164.712	1659.582	259.024	-135.470	591.716	178.166	199.710	105.972	210.305	224.396	1047.654	458.356	-169.043	39.074	436.162	218.353	39.469	177.232	181.433	1673.788	260.742	184.744	587.566
71	0.70000	200.029	-150.192	109.474	233.293	-193.495	1038.309	194.707	-164.646	1659.542	259.095	-135.411	591.707	178.223	199.688	105.982	210.211	224.532	1047.609	458.343	-169.047	39.078	436.186	218.365	39.432	177.070	181.589	1673.812	260.800	184.833	587.577
72	0.71000	200.051	-150.168	109.478	233.261	-193.375	1038.288	194.616	-164.559	1659.534	259.172	-135.408	591.785	178.319	199.658	105.997	210.143	224.622	1047.575	458.359	-169.030	39.083	436.192	218.373	39.369	176.951	181.690	1673.780	260.823	184.840	587.569
73	0.72000	200.050	-150.156	109.492	233.240	-193.286	1038.264	194.500	-164.508	1659.487	259.212	-135.260	591.709	178.404	199.653	106.002	210.125	224.702	1047.555	458.348	-169.045	39.102	436.228	218.411	39.326	176.838	181.769	1673.708	260.829	184.846	587.567
74	0.73000	200.070	-150.119	109.463	233.221	-193.205	1038.259	194.418	-164.459	1659.483	259.232	-135.176	591.710	178.422	199.662	106.024	210.112	224.776	1047.571	458.353	-169.027	39.108	436.228	218.410	39.282	176.722	181.795	1673.729	260.784	184.898	587.603
75	0.74000	200.080	-150.122	109.497	233.211	-193.125	1038.254	194.308	-164.423	1659.476	259.258	-135.149	591.732	178.447	199.666	106.014	210.130	224.837	1047.587	458.346	-169.034	39.095	436.243	218.413	39.265	176.591	181.910	1673.709	260.633	184.926	587.662
76	0.75000	200.074	-150.099	109.513	233.177	-193.058	1038.273	194.181	-164.389	1659.501	259.250	-135.077	591.728	178.432	199.686	106.033	210.176	224.891	1047.631	458.345	-169.026	39.095	436.247	218.399	39.250	176.470	181.944	1673.673	260.383	184.952	587.729
77	0.76000	200.063	-150.123	109.513	233.161	-193.008	1038.299	194.100	-164.321	1659.496	259.233	-135.081	591.785	178.396	199.719	106.083	210.219	224.905	1047.661	458.348	-169.032	39.115	436.235	218.402	39.266	176.352	182.028	1673.635	260.079	184.920	587.760
78	0.77000	200.042	-150.102	109.536	233.146	-192.942	1038.297	194.013	-164.294	1659.501	259.198	-135.033	591.771	178.344	199.721	106.073	210.254	224.962	1047.684	458.353	-169.020	39.107	436.226	218.414	39.309	176.270	182.058	1673.669	259.776	184.881	587.761
79	0.78000	200.040	-150.089	109.521	233.124	-192.905	1038.284	193.933	-164.248	1659.497	259.153	-135.016	591.787	178.292	199.732	106.042	210.270	224.979	1047.707	458.346	-169.033	39.136	436.218	218.409	39.351	176.156	182.108	1673.708	259.485	184.855	587.764
80	0.79000	200.029	-150.077	109.543	233.123	-192.882	1038.287	193.849	-164.192	1659.513	259.163	-134.986	591.795	178.239	199.758	106.034	210.267	225.027	1047.730	458.345	-169.026	39.149	436.198	218.392	39.389	176.002	182.198	1673.696	259.225	184.826	587.747
