NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:27:21
DATA_INCLUDED	Angular Velocity
DATA_TYPES	KL_Angular_Velocity

Frame	Time	KL_Angular_Velocity	
814	8.13000	-5.102
815	8.14000	-7.142
816	8.15000	-8.192
817	8.16000	-8.146
818	8.17000	-7.152
819	8.18000	-5.453
820	8.19000	-3.620
821	8.20000	-2.014
822	8.21000	-0.839
823	8.22000	-0.433
824	8.23000	-0.634
825	8.24000	-0.790
826	8.25000	-0.221
827	8.26000	1.472
828	8.27000	4.092
829	8.28000	7.061
830	8.29000	9.837
831	8.30000	12.359
832	8.31000	13.968
833	8.32000	14.106
834	8.33000	13.080
835	8.34000	11.009
836	8.35000	8.194
837	8.36000	4.846
838	8.37000	1.301
839	8.38000	-1.862
840	8.39000	-4.169
841	8.40000	-5.237
842	8.41000	-5.301
843	8.42000	-4.399
844	8.43000	-2.483
845	8.44000	-0.230
846	8.45000	1.797
847	8.46000	2.975
848	8.47000	3.139
849	8.48000	2.304
850	8.49000	0.310
851	8.50000	-2.214
852	8.51000	-4.488
853	8.52000	-6.014
854	8.53000	-6.213
855	8.54000	-4.749
856	8.55000	-1.714
857	8.56000	2.418
858	8.57000	6.977
859	8.58000	10.999
860	8.59000	13.688
861	8.60000	14.735
862	8.61000	13.930
863	8.62000	11.428
864	8.63000	7.803
865	8.64000	3.888
866	8.65000	0.256
867	8.66000	-2.607
868	8.67000	-4.212
869	8.68000	-4.661
870	8.69000	-3.900
871	8.70000	-2.246
872	8.71000	-0.074
873	8.72000	2.455
874	8.73000	4.857
875	8.74000	6.915
876	8.75000	8.317
877	8.76000	8.959
878	8.77000	8.729
879	8.78000	7.616
880	8.79000	5.955
881	8.80000	3.858
882	8.81000	1.723
883	8.82000	-0.152
884	8.83000	-1.462
885	8.84000	-1.921
886	8.85000	-1.729
887	8.86000	-0.798
888	8.87000	0.705
889	8.88000	2.327
890	8.89000	3.856
891	8.90000	5.108
892	8.91000	6.092
893	8.92000	6.690
894	8.93000	6.967
895	8.94000	6.939
896	8.95000	6.237
897	8.96000	5.421
898	8.97000	4.704
899	8.98000	3.649
900	8.99000	2.554
901	9.00000	1.558
902	9.01000	0.827
903	9.02000	0.429
904	9.03000	0.323
905	9.04000	0.629
906	9.05000	0.954
907	9.06000	1.498
908	9.07000	2.172
909	9.08000	2.543
910	9.09000	2.583
911	9.10000	2.189
912	9.11000	1.465
913	9.12000	0.507
914	9.13000	-0.503
915	9.14000	-1.360
916	9.15000	-2.074
917	9.16000	-2.445
918	9.17000	-2.448
919	9.18000	-2.263
920	9.19000	-1.860
921	9.20000	-1.313
922	9.21000	-0.889
923	9.22000	-0.751
924	9.23000	-0.862
925	9.24000	-1.264
926	9.25000	-1.802
927	9.26000	-2.457
928	9.27000	-3.262
929	9.28000	-3.927
930	9.29000	-4.071
931	9.30000	-3.549
932	9.31000	-2.518
933	9.32000	-1.061
934	9.33000	0.840
935	9.34000	2.827
936	9.35000	4.577
937	9.36000	5.937
938	9.37000	6.697
939	9.38000	6.937
940	9.39000	6.757
941	9.40000	6.208
942	9.41000	5.322
943	9.42000	4.249
944	9.43000	3.296
945	9.44000	2.363
946	9.45000	1.467
947	9.46000	0.905
948	9.47000	0.540
949	9.48000	0.268
950	9.49000	0.027
951	9.50000	-0.226
952	9.51000	-0.345
953	9.52000	-0.292
954	9.53000	0.021
955	9.54000	0.568
956	9.55000	1.081
957	9.56000	1.713
958	9.57000	2.543
959	9.58000	3.447
960	9.59000	4.306
961	9.60000	5.051
962	9.61000	5.794
963	9.62000	6.429
964	9.63000	6.837
