NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:19:18
DATA_INCLUDED	Angular Velocity
DATA_TYPES	KR_Angular_Velocity_pre_post

Frame	Time	KR_Angular_Velocity_pre_post	
982	9.81000	1.025
983	9.82000	0.817
984	9.83000	0.473
985	9.84000	0.045
986	9.85000	-0.467
987	9.86000	-1.025
988	9.87000	-1.536
989	9.88000	-1.913
990	9.89000	-2.060
991	9.90000	-1.949
992	9.91000	-1.607
993	9.92000	-1.067
994	9.93000	-0.381
995	9.94000	0.239
996	9.95000	0.936
997	9.96000	1.709
998	9.97000	2.557
999	9.98000	3.482
1000	9.99000	0.000
