NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:18:44
DATA_INCLUDED	Angular Velocity
DATA_TYPES	KR_Angular_Velocity_pre

Frame	Time	KR_Angular_Velocity_pre	
520	5.19000	5.937
521	5.20000	4.501
522	5.21000	3.451
523	5.22000	2.668
524	5.23000	1.945
525	5.24000	1.262
526	5.25000	0.601
527	5.26000	-0.048
528	5.27000	-0.719
529	5.28000	-1.259
530	5.29000	-1.663
531	5.30000	-1.981
532	5.31000	-1.981
533	5.32000	-1.797
534	5.33000	-1.630
535	5.34000	-1.698
536	5.35000	-1.939
537	5.36000	-2.069
538	5.37000	-2.091
539	5.38000	-1.821
540	5.39000	-1.170
541	5.40000	-0.454
542	5.41000	0.098
543	5.42000	0.316
544	5.43000	0.234
545	5.44000	0.052
546	5.45000	-0.091
547	5.46000	-0.015
548	5.47000	0.209
549	5.48000	0.540
550	5.49000	0.863
551	5.50000	0.855
552	5.51000	0.564
553	5.52000	0.199
554	5.53000	-0.100
555	5.54000	-0.245
556	5.55000	-0.257
557	5.56000	-0.149
558	5.57000	-0.161
559	5.58000	-0.450
560	5.59000	-1.046
561	5.60000	-2.039
562	5.61000	-3.193
563	5.62000	-4.475
564	5.63000	-6.037
565	5.64000	-7.520
566	5.65000	-8.641
567	5.66000	-9.377
568	5.67000	-9.496
569	5.68000	-8.914
570	5.69000	-7.964
571	5.70000	-7.685
572	5.71000	-6.218
573	5.72000	-3.290
574	5.73000	-0.959
575	5.74000	1.035
576	5.75000	2.542
577	5.76000	3.679
578	5.77000	4.476
579	5.78000	4.491
580	5.79000	3.229
581	5.80000	0.511
582	5.81000	-1.593
583	5.82000	-3.282
584	5.83000	-5.494
585	5.84000	-7.308
586	5.85000	-8.819
587	5.86000	-9.567
588	5.87000	-9.778
589	5.88000	-9.993
590	5.89000	-10.674
591	5.90000	-11.848
592	5.91000	-13.340
593	5.92000	-15.221
594	5.93000	-16.838
595	5.94000	-18.425
596	5.95000	-20.245
597	5.96000	-21.008
598	5.97000	-22.518
599	5.98000	-25.175
600	5.99000	-27.321
601	6.00000	-28.634
602	6.01000	-29.766
603	6.02000	-32.028
604	6.03000	-35.013
605	6.04000	-37.741
606	6.05000	-40.162
607	6.06000	-42.079
608	6.07000	-45.194
609	6.08000	-49.799
610	6.09000	-55.308
611	6.10000	-62.081
612	6.11000	-68.847
613	6.12000	-74.211
614	6.13000	-75.310
615	6.14000	-72.619
616	6.15000	-68.979
617	6.16000	-65.593
618	6.17000	-63.778
619	6.18000	-63.822
620	6.19000	-65.537
621	6.20000	-67.925
622	6.21000	-69.658
623	6.22000	-70.802
624	6.23000	-72.202
625	6.24000	-75.953
626	6.25000	-81.690
627	6.26000	-86.957
628	6.27000	-90.349
629	6.28000	-91.194
630	6.29000	-89.704
631	6.30000	-86.892
632	6.31000	-84.635
633	6.32000	-84.268
634	6.33000	-85.688
635	6.34000	-87.870
636	6.35000	-89.527
637	6.36000	-90.334
638	6.37000	-91.543
639	6.38000	-93.919
640	6.39000	-96.686
641	6.40000	-99.522
642	6.41000	-102.012
643	6.42000	-104.143
644	6.43000	-106.091
645	6.44000	-107.197
646	6.45000	-108.314
647	6.46000	-109.619
648	6.47000	-110.244
649	6.48000	-110.837
650	6.49000	-111.011
651	6.50000	-109.736
652	6.51000	-107.339
653	6.52000	-105.428
654	6.53000	-104.554
655	6.54000	-103.870
656	6.55000	-103.561
657	6.56000	-102.816
658	6.57000	-101.125
659	6.58000	-100.225
660	6.59000	-99.543
661	6.60000	-97.980
662	6.61000	-96.416
663	6.62000	-94.882
664	6.63000	-93.121
665	6.64000	-91.356
666	6.65000	-89.706
667	6.66000	-88.242
668	6.67000	-86.785
669	6.68000	-85.275
670	6.69000	-83.786
671	6.70000	-82.319
672	6.71000	-81.092
673	6.72000	-80.204
674	6.73000	-79.493
675	6.74000	-78.553
676	6.75000	-77.173
677	6.76000	-75.514
678	6.77000	-73.510
679	6.78000	-71.376
680	6.79000	-69.324
681	6.80000	-67.227
682	6.81000	-65.187
683	6.82000	-63.374
684	6.83000	-61.486
685	6.84000	-59.166
686	6.85000	-56.401
687	6.86000	-53.618
688	6.87000	-50.784
689	6.88000	-47.976
690	6.89000	-45.561
691	6.90000	-43.341
692	6.91000	-41.076
693	6.92000	-38.614
694	6.93000	-35.700
