NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:13:34
DATA_INCLUDED	Angular Velocity
DATA_TYPES	LL_Angular_Velocity

Frame	Time	LL_Angular_Velocity	
562	5.61000	-5.634
563	5.62000	-6.188
564	5.63000	-6.670
565	5.64000	-6.963
566	5.65000	-6.822
567	5.66000	-6.336
568	5.67000	-5.667
569	5.68000	-4.953
570	5.69000	-4.232
571	5.70000	-3.369
572	5.71000	-2.659
573	5.72000	-2.335
574	5.73000	-2.201
575	5.74000	-2.072
576	5.75000	-1.989
577	5.76000	-2.203
578	5.77000	-2.796
579	5.78000	-3.529
580	5.79000	-4.106
581	5.80000	-4.474
582	5.81000	-4.763
583	5.82000	-4.699
584	5.83000	-4.216
585	5.84000	-3.395
586	5.85000	-2.373
587	5.86000	-1.570
588	5.87000	-1.166
589	5.88000	-0.914
590	5.89000	-0.628
591	5.90000	-0.353
592	5.91000	-0.020
593	5.92000	0.328
594	5.93000	0.418
595	5.94000	0.253
596	5.95000	-0.044
597	5.96000	-0.466
598	5.97000	-0.714
599	5.98000	-0.722
600	5.99000	-0.694
601	6.00000	-1.110
602	6.01000	-2.227
603	6.02000	-3.853
604	6.03000	-5.857
605	6.04000	-7.687
606	6.05000	-8.733
607	6.06000	-9.154
608	6.07000	-9.240
609	6.08000	-9.623
610	6.09000	-10.454
611	6.10000	-11.417
612	6.11000	-12.179
613	6.12000	-12.358
614	6.13000	-12.415
615	6.14000	-12.668
616	6.15000	-13.194
617	6.16000	-13.796
618	6.17000	-14.010
619	6.18000	-13.731
620	6.19000	-12.629
621	6.20000	-10.874
622	6.21000	-9.066
623	6.22000	-7.620
624	6.23000	-7.240
625	6.24000	-7.904
626	6.25000	-8.783
627	6.26000	-8.912
628	6.27000	-8.027
629	6.28000	-6.654
630	6.29000	-5.561
631	6.30000	-5.376
632	6.31000	-6.048
633	6.32000	-7.214
634	6.33000	-8.616
635	6.34000	-10.140
636	6.35000	-11.953
637	6.36000	-13.950
638	6.37000	-15.700
639	6.38000	-16.832
640	6.39000	-17.328
641	6.40000	-17.298
642	6.41000	-17.041
643	6.42000	-17.029
644	6.43000	-16.982
645	6.44000	-16.923
646	6.45000	-17.301
647	6.46000	-18.110
648	6.47000	-18.536
649	6.48000	-20.781
650	6.49000	-22.579
651	6.50000	-21.505
652	6.51000	-20.837
653	6.52000	-20.141
654	6.53000	-18.373
655	6.54000	-15.820
656	6.55000	-13.303
657	6.56000	-11.695
658	6.57000	-11.145
659	6.58000	-12.500
660	6.59000	-12.067
661	6.60000	-9.585
662	6.61000	-8.800
663	6.62000	-8.273
664	6.63000	-8.103
665	6.64000	-8.787
666	6.65000	-9.929
667	6.66000	-11.078
668	6.67000	-11.682
669	6.68000	-11.188
670	6.69000	-10.310
671	6.70000	-10.008
672	6.71000	-10.104
673	6.72000	-10.423
674	6.73000	-11.012
675	6.74000	-11.171
676	6.75000	-10.540
677	6.76000	-9.424
678	6.77000	-7.906
679	6.78000	-5.988
680	6.79000	-4.213
681	6.80000	-2.949
682	6.81000	-1.757
683	6.82000	-0.633
684	6.83000	0.122
685	6.84000	0.829
686	6.85000	1.641
687	6.86000	2.248
688	6.87000	3.003
689	6.88000	4.576
690	6.89000	6.913
691	6.90000	9.489
692	6.91000	11.812
693	6.92000	13.473
694	6.93000	14.060
695	6.94000	13.529
696	6.95000	12.329
697	6.96000	10.632
698	6.97000	9.277
699	6.98000	9.381
700	6.99000	11.152
701	7.00000	14.328
702	7.01000	18.157
703	7.02000	22.329
704	7.03000	26.325
705	7.04000	29.687
706	7.05000	32.749
707	7.06000	34.641
708	7.07000	34.619
709	7.08000	32.962
710	7.09000	29.991
711	7.10000	25.995
712	7.11000	21.285
713	7.12000	16.473
714	7.13000	11.983
715	7.14000	8.525
716	7.15000	6.718
717	7.16000	5.878
718	7.17000	5.404
719	7.18000	5.071
720	7.19000	4.318
721	7.20000	2.912
722	7.21000	1.248
723	7.22000	-0.407
724	7.23000	-1.986
725	7.24000	-3.259
726	7.25000	-3.867
727	7.26000	-3.576
728	7.27000	-2.631
729	7.28000	-1.312
730	7.29000	-0.099
731	7.30000	0.564
732	7.31000	0.966
733	7.32000	1.030
734	7.33000	0.410
735	7.34000	-0.573
736	7.35000	-1.753
737	7.36000	-2.917
738	7.37000	-3.659
739	7.38000	-3.754
740	7.39000	-3.272
741	7.40000	-2.331
742	7.41000	-0.830
743	7.42000	0.710
744	7.43000	2.044
745	7.44000	3.204
746	7.45000	3.693
747	7.46000	3.577
748	7.47000	3.127
749	7.48000	2.495
750	7.49000	1.976
751	7.50000	1.689
752	7.51000	1.814
753	7.52000	2.458
754	7.53000	3.643
755	7.54000	4.972
756	7.55000	6.058
757	7.56000	7.000
758	7.57000	7.686
759	7.58000	7.913
760	7.59000	7.814
761	7.60000	7.266
762	7.61000	6.428
763	7.62000	5.844
764	7.63000	5.399
765	7.64000	5.054
766	7.65000	5.009
767	7.66000	5.119
768	7.67000	5.180
769	7.68000	4.998
770	7.69000	4.620
771	7.70000	3.997
772	7.71000	3.236
773	7.72000	2.662
774	7.73000	2.120
775	7.74000	1.526
776	7.75000	1.143
777	7.76000	0.948
