NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:37:18
DATA_INCLUDED	Angle
DATA_TYPES	KL_Angle

Frame	Time	KL_Angle	
569	5.68000	85.957
570	5.69000	86.419
571	5.70000	86.904
572	5.71000	87.410
573	5.72000	87.927
574	5.73000	88.468
575	5.74000	89.027
576	5.75000	89.608
577	5.76000	90.205
578	5.77000	90.823
579	5.78000	91.462
580	5.79000	92.126
581	5.80000	92.821
582	5.81000	93.544
583	5.82000	94.296
584	5.83000	95.085
585	5.84000	95.900
586	5.85000	96.741
587	5.86000	97.597
588	5.87000	98.471
589	5.88000	99.359
590	5.89000	100.271
591	5.90000	101.212
592	5.91000	102.183
593	5.92000	103.188
594	5.93000	104.226
595	5.94000	105.292
596	5.95000	106.389
597	5.96000	107.495
598	5.97000	108.613
599	5.98000	109.735
600	5.99000	110.879
601	6.00000	112.032
602	6.01000	113.188
603	6.02000	114.340
604	6.03000	115.479
605	6.04000	116.602
606	6.05000	117.703
607	6.06000	118.758
608	6.07000	119.769
609	6.08000	120.736
610	6.09000	121.668
611	6.10000	122.553
612	6.11000	123.402
613	6.12000	124.220
614	6.13000	125.021
615	6.14000	125.831
616	6.15000	126.659
617	6.16000	127.514
618	6.17000	128.409
619	6.18000	129.346
620	6.19000	130.293
621	6.20000	131.234
622	6.21000	132.158
623	6.22000	133.051
624	6.23000	133.906
625	6.24000	134.723
626	6.25000	135.510
627	6.26000	136.285
628	6.27000	137.065
629	6.28000	137.848
630	6.29000	138.620
631	6.30000	139.395
632	6.31000	140.170
633	6.32000	140.952
634	6.33000	141.740
635	6.34000	142.535
636	6.35000	143.336
637	6.36000	144.148
638	6.37000	144.971
639	6.38000	145.800
640	6.39000	146.624
641	6.40000	147.439
642	6.41000	148.240
643	6.42000	149.035
644	6.43000	149.828
645	6.44000	150.616
646	6.45000	151.389
647	6.46000	152.138
648	6.47000	152.859
649	6.48000	153.545
650	6.49000	154.192
651	6.50000	154.799
652	6.51000	155.367
653	6.52000	155.897
654	6.53000	156.391
655	6.54000	156.851
656	6.55000	157.273
657	6.56000	157.656
658	6.57000	158.007
659	6.58000	158.335
660	6.59000	158.651
661	6.60000	158.961
662	6.61000	159.264
663	6.62000	159.545
664	6.63000	159.798
665	6.64000	160.016
666	6.65000	160.188
667	6.66000	160.309
668	6.67000	160.378
669	6.68000	160.400
670	6.69000	160.387
671	6.70000	160.351
672	6.71000	160.305
673	6.72000	160.258
674	6.73000	160.219
675	6.74000	160.194
676	6.75000	160.179
677	6.76000	160.172
678	6.77000	160.164
679	6.78000	160.150
680	6.79000	160.126
681	6.80000	160.086
682	6.81000	160.029
683	6.82000	159.955
684	6.83000	159.865
685	6.84000	159.767
686	6.85000	159.667
687	6.86000	159.573
688	6.87000	159.497
689	6.88000	159.445
690	6.89000	159.419
691	6.90000	159.413
692	6.91000	159.424
693	6.92000	159.444
694	6.93000	159.462
695	6.94000	159.473
696	6.95000	159.475
697	6.96000	159.467
698	6.97000	159.452
699	6.98000	159.429
700	6.99000	159.397
701	7.00000	159.357
702	7.01000	159.310
703	7.02000	159.260
704	7.03000	159.212
705	7.04000	159.172
706	7.05000	159.143
707	7.06000	159.122
708	7.07000	159.105
709	7.08000	159.084
710	7.09000	159.058
711	7.10000	159.025
712	7.11000	158.988
713	7.12000	158.951
714	7.13000	158.924
715	7.14000	158.909
716	7.15000	158.911
717	7.16000	158.932
718	7.17000	158.968
719	7.18000	159.020
720	7.19000	159.082
721	7.20000	159.145
722	7.21000	159.197
723	7.22000	159.219
724	7.23000	159.186
725	7.24000	159.072
726	7.25000	158.846
727	7.26000	158.474
728	7.27000	157.924
729	7.28000	157.162
730	7.29000	156.164
731	7.30000	154.934
732	7.31000	153.486
733	7.32000	151.852
734	7.33000	150.072
735	7.34000	148.194
736	7.35000	146.261
737	7.36000	144.316
738	7.37000	142.391
739	7.38000	140.501
740	7.39000	138.664
741	7.40000	136.901
742	7.41000	135.242
743	7.42000	133.725
744	7.43000	132.383
745	7.44000	131.248
746	7.45000	130.340
747	7.46000	129.673
748	7.47000	129.243
749	7.48000	129.030
750	7.49000	129.005
751	7.50000	129.142
752	7.51000	129.424
753	7.52000	129.823
754	7.53000	130.318
755	7.54000	130.883
756	7.55000	131.497
757	7.56000	132.136
758	7.57000	132.780
759	7.58000	133.409
760	7.59000	134.016
761	7.60000	134.599
762	7.61000	135.163
763	7.62000	135.706
764	7.63000	136.228
765	7.64000	136.726
766	7.65000	137.199
767	7.66000	137.640
768	7.67000	138.046
769	7.68000	138.423
770	7.69000	138.782
771	7.70000	139.134
772	7.71000	139.496
773	7.72000	139.873
774	7.73000	140.268
775	7.74000	140.683
776	7.75000	141.119
777	7.76000	141.579
778	7.77000	142.066
779	7.78000	142.585
780	7.79000	143.134
781	7.80000	143.709
782	7.81000	144.296
783	7.82000	144.882
784	7.83000	145.455
785	7.84000	146.003
786	7.85000	146.528
787	7.86000	147.032
788	7.87000	147.521
789	7.88000	148.001
790	7.89000	148.474
791	7.90000	148.944
792	7.91000	149.399
793	7.92000	149.823
794	7.93000	150.182
795	7.94000	150.441
796	7.95000	150.579
797	7.96000	150.585
798	7.97000	150.455
799	7.98000	150.192
800	7.99000	149.810
801	8.00000	149.336
802	8.01000	148.804
803	8.02000	148.254
804	8.03000	147.723
805	8.04000	147.245
806	8.05000	146.849
807	8.06000	146.535
808	8.07000	146.269
809	8.08000	145.987
810	8.09000	145.615
811	8.10000	145.082
812	8.11000	144.350
813	8.12000	143.398
814	8.13000	142.223
815	8.14000	140.821
816	8.15000	139.197
817	8.16000	137.351
818	8.17000	135.297
819	8.18000	133.058
820	8.19000	130.664
821	8.20000	128.158
822	8.21000	125.591
823	8.22000	123.004
824	8.23000	120.422
825	8.24000	117.866
826	8.25000	115.368
827	8.26000	112.956
828	8.27000	110.678
829	8.28000	108.591
830	8.29000	106.756
831	8.30000	105.224
832	8.31000	104.035
833	8.32000	103.189
834	8.33000	102.670
835	8.34000	102.455
836	8.35000	102.509
837	8.36000	102.785
838	8.37000	103.220
839	8.38000	103.761
840	8.39000	104.381
841	8.40000	105.050
842	8.41000	105.766
843	8.42000	106.505
844	8.43000	107.321
845	8.44000	108.277
846	8.45000	109.219
847	8.46000	110.048
848	8.47000	110.732
849	8.48000	111.243
850	8.49000	111.581
851	8.50000	111.776
852	8.51000	111.882
853	8.52000	111.964
854	8.53000	112.114
855	8.54000	112.380
856	8.55000	112.631
857	8.56000	112.887
858	8.57000	113.195
859	8.58000	113.550
860	8.59000	113.946
861	8.60000	114.385
862	8.61000	114.862
863	8.62000	115.357
864	8.63000	115.854
865	8.64000	116.356
866	8.65000	116.869
867	8.66000	117.400
868	8.67000	117.956
869	8.68000	118.527
870	8.69000	119.106
871	8.70000	119.693
872	8.71000	120.298
873	8.72000	120.933
874	8.73000	121.608
875	8.74000	122.323
876	8.75000	123.070
877	8.76000	123.835
878	8.77000	124.603
879	8.78000	125.357
880	8.79000	126.086
881	8.80000	126.781
882	8.81000	127.440
883	8.82000	128.071
884	8.83000	128.679
885	8.84000	129.276
886	8.85000	129.861
887	8.86000	130.437
888	8.87000	131.006
889	8.88000	131.565
890	8.89000	132.115
891	8.90000	132.653
892	8.91000	133.173
893	8.92000	133.666
894	8.93000	134.132
895	8.94000	134.574
896	8.95000	134.989
897	8.96000	135.379
898	8.97000	135.748
899	8.98000	136.090
900	8.99000	136.410
901	9.00000	136.701
902	9.01000	136.963
903	9.02000	137.195
904	9.03000	137.407
905	9.04000	137.608
906	9.05000	137.808
907	9.06000	138.014
908	9.07000	138.226
909	9.08000	138.436
910	9.09000	138.638
911	9.10000	138.816
912	9.11000	138.968
913	9.12000	139.087
914	9.13000	139.176
915	9.14000	139.239
916	9.15000	139.283
917	9.16000	139.307
918	9.17000	139.306
919	9.18000	139.258
920	9.19000	139.133
921	9.20000	138.879
922	9.21000	138.458
923	9.22000	137.840
924	9.23000	137.013
925	9.24000	135.990
926	9.25000	134.809
927	9.26000	133.507
928	9.27000	132.158
929	9.28000	130.846
930	9.29000	129.640
931	9.30000	128.606
932	9.31000	127.793
933	9.32000	127.222
934	9.33000	126.900
935	9.34000	126.817
936	9.35000	126.954
937	9.36000	127.279
938	9.37000	127.782
